"CD4_naive","Treg","Th1","Th2","Th17","Tfh","CD4_Central_memory","CD4_Effector_memory"
"TCF7","FOXP3","CD28","ADORA2A","CD274","CD200","MALT1","GFI1"
"CCR7","CTLA4","CD274","APOE","IL10RA","CD83","PDK1","MALT1"
"SELL","IL2RA","IL2","C5AR1","PDCD1","CD84","SKIV2L","SERPINB6"
"IL7R","TNFRSF18","IL4","IL13RA1","IL6","B3GAT1","CCR7","LRRC32"
"PTPRC","TIGIT","IL6","MMP9","IL17A","CDK5R1","IL23A","PDK1"
"IL2RG","IL10","IL10RA","MYD88","IL17F","IL21","CD27","SKIV2L"
"IKBKE","TNFSF18","IL12","PTPN13","IL17F","CXCR5","CD28","SPNS2"
"LAMP3","LAG3","IL23A","SPI1","IL21","IL4","PTPRC","SSU72"
"TRABD2A","LTA","MYD88","TBX21","IL22","STAT3","SELL","TREX1"
"LEF1","IL2RA","PDCD1","TLR4","IL23R","BCL6","CD44","CXCL14"
"BCL11B","ITGAE","PLP1","STAT6","AHR","MAF","IL7R","NLRP3"
"LDLRAP1","VPS53","PTPN2","TIGIT","BATF","BTLA","IL7R","TNFRSF4"
"","LAP","TGFB1","TNFRSF4","IL21R","CXCL13","TNFRSF25","SSU72"
"","CCR8","CASP8","TSLP","CCR6","B3GAT1","ETS1","TREX1"
"","TGFBR1","CRP","USP38","RORA","B3GAT1","AKT3","IL7R"
"","IL9","IL27RA","GATA3","RORA","IRF4","ITK","KLRG1"
"","SKP2","ICAM1","IRF4","RORC","BATF","TNFSF8","KLRG1"
"","IL2","IL12B","IL4","IL1R1","SLAMF1","SF3A3","IL12RB1"
"","IL10R","TBX21","IL5","CTSH","TNFSF4","ZNF143","TNFSF4"
"","TSC1","IL12RB1","IL13","IL4I1","CD40LG","SMAD3","GPATCH3"
"","RICTOR","CXCR3","IL25","LGALS3","","CNOT4","PRPF38A"
"","","IL18","IL1RL1","","CD200","CCR4","ITCH"
"","","STAT1","BATF","","GNG4","SESN3","IL23R"
"","","STAT4","GATA3","","POU2AF1","TRAT1","ATM"
"","","IFNG","STAT6","","IGFBP4","","PNMA1"
"","","IL3","PTGDR2","","","","RORA"
"","","TNF","IL17RB","","","","BMI1"
"","","CSF2","IL17A","","","","DLL1"
"","","","HAVCR1","","","","FCF1"
"","","","CCR4","","","","ATG5"
"","","","CCR8","","","",""
"","","","PTGDR2","","","",""
"","","","PTGDR2","","","",""
"","","","SEMA5A","","","",""
"","","","AKAP12","","","",""
"","","","HPGDS","","","",""
