CD8_naive,CD8_Cytotoxic,CD8_Exhausted,CD8_Central_memory,CD8_Effector_memory
NELL2,ERBB2,LAG3,MALT1,GFI1
REG4,GFI1,PDCD1,IDO1,IL23R
CD248,IL18,HAVCR2,SKIV2L,MALT1
MGAT4A,IL23R,CD244,TRAF2,JAK3
NELL2,MALT1,CD200,SLC2A1,PDCD1LG2
CCR7,MUC1,TOX2,CD40LG,SELPLG
LEF1,TERT,TOX,GZMK,SPNS2
APBA2,ADIPOQ,PRDM1,CCL5,BRD4
CARS,CD274,RBPJ,DUSP2,C1QBP
PIK3IP1,INS,PDCD1,LYAR,ITPR2
,IPMK,TIGIT,ZNF683,NLRP3
,PRF1,HAVCR2,IL32,TRAF2
,GZMA,ZNF683,CXCR3,GZMK
,GZMB,LAYN,IL7R,DUSP2
,GZMK,ITGAE,TYROBP,CCL5
,NKG7,ANO6,,CST7
,GNLY,IL2RB,,GZMA
,CX3CR1,MALT1,,CMC1
,KLRG1,NR1H4,,CCL4
,FGFBP2,TNFRSF18,,GZMM
,FCGR3A,VTCN1,,
